customerid,tenure,monthlycharges,totalcharges,churn
5356-KZCKT,58,24,1513,No
9470-XCCEM,35,90,3161,No
6519-CFDBX,2,45,80,No
3902-MIVLE,63,76,4676,No
0409-WTMPL,58,111,6526,No
8763-KIAFH,27,21,583,No
3669-WHAFY,71,115,8078,No
3055-VTCGS,63,59,3503,No
3144-KMTWZ,71,93,6669,No
7279-BUYWN,41,113,4689,Yes
7156-MHUGY,13,90,1201,Yes
7198-GLXTC,2,79,143,Yes
2007-QVGAW,68,19,1292,No
5207-PLSTK,1,49,48,No
2307-FYNNL,65,109,7108,No
5605-XNWEN,72,25,1802,No
2155-AMQRX,28,55,1505,No
6181-AXXYF,72,25,1859,No
5091-HFAZW,2,91,168,No
0516-VRYBW,18,20,390,Yes
2519-LBNQL,60,104,6339,No
8623-ULFNQ,26,66,1652,No
8380-PEFPE,1,72,71,Yes
5687-DKDTV,4,20,77,Yes
1568-LJSZU,68,92,6392,No
7530-HDYDS,38,84,3264,Yes
7789-HKSBS,42,105,4599,No
7416-CKTEP,57,20,1134,No
2586-CWXVV,54,30,1621,No
3096-IZETN,12,78,947,Yes
2348-KCJLT,44,62,2722,No
8401-EMUWF,42,69,3058,No
4193-IBKSW,72,25,1769,No
5377-NDTOU,71,91,6293,No
5922-ABDVO,19,90,1761,Yes
2474-LCNUE,23,74,1642,No
0839-QNXME,30,19,578,No
3506-OVLKD,35,26,954,No
9172-ANCRX,10,99,973,Yes
6650-VJONK,1,44,43,No
2178-PMGCJ,22,70,1490,No
7492-TAFJD,7,39,280,No
2773-MADBQ,36,53,1901,No
6016-LVTJQ,34,21,716,No
7860-KSUGX,72,64,4720,No
8966-KZXXA,36,25,930,No
6910-HADCM,1,76,76,Yes
4816-LXZYW,23,79,1676,Yes
9606-PBKBQ,32,85,2642,Yes
5149-QYTTU,71,95,6770,No
2070-XYMFH,23,79,1835,No
2085-BOJKI,17,97,1588,No
0817-HSUSE,1,76,75,No
5442-PPTJY,12,20,258,No
1927-QEWMY,72,20,1502,No
1663-MHLHE,1,19,19,No
5663-QBGIS,72,98,6929,No
4450-MDZFX,60,74,4453,No
6701-DHKWQ,61,51,3244,No
7554-AKDQF,6,46,323,No
3536-IQCTX,32,85,2661,Yes
4911-BANWH,31,87,2697,Yes
8496-EJAUI,19,74,1424,Yes
0794-YVSGE,72,20,1401,No
5423-BHIXO,32,54,1739,No
6908-VVYHM,65,91,5931,No
2959-EEXWB,45,51,2333,No
1839-UMACK,42,25,949,No
3030-YDNRM,8,75,572,No
7321-KKSDU,32,20,696,No
3402-XRIUO,22,64,1381,No
3132-TVFDZ,57,45,2572,Yes
8286-AFUYI,1,48,47,No
8080-DDEMJ,1,45,45,Yes
8356-WUAOJ,1,45,45,No
6365-MTGZX,24,96,2122,Yes
1349-WXNGG,1,20,20,Yes
8058-DMYRU,54,90,4931,No
9350-ZXYJC,4,25,116,No
6990-YNRIO,65,109,6937,Yes
8958-JPTRR,56,24,1261,No
6959-GQEGV,45,76,3273,No
3173-WSSUE,71,20,1415,No
1265-HVPZB,59,66,3958,No
4115-UMJFQ,69,36,2492,No
7369-TRPFD,19,19,279,No
1098-KFQEC,55,19,1083,No
7190-XHTWJ,38,19,755,No
0621-TWIEM,10,46,402,Yes
3537-RYBHH,47,67,3252,No
2485-ITVKB,2,35,68,Yes
3669-OYSJI,1,46,46,Yes
1612-EOHDH,1,45,45,Yes
6702-OHFWR,1,43,43,Yes
5296-BFCYD,46,20,936,No
4510-PYUSH,38,57,2250,Yes
9359-JANWS,65,59,3857,No
7517-SAWMO,19,73,1441,Yes
4143-HHPMK,52,85,4338,Yes
3279-DYZQM,71,19,1378,No
7054-LGEQW,1,46,45,Yes
0523-VNGTF,52,50,2566,No
9575-IWCAZ,6,25,171,No
7105-MXJLL,26,61,1597,No
7064-FRRSW,48,99,4744,No
7940-UQQUG,64,104,6721,No
0923-PNFUB,3,84,247,Yes
3961-SXAXY,1,44,44,No
7010-BRBUU,72,24,1734,No
3566-HJGPK,1,46,45,No
3062-ICYZQ,51,94,4539,No
9938-PRCVK,41,20,804,No
0973-KYVNF,72,71,5011,No
5129-HHMZC,43,86,3574,No
9637-CDTKZ,72,114,8086,No
3946-JEWRQ,47,95,4563,No
7873-CVMAW,72,89,6362,No
0463-WZZKO,3,21,67,No
3494-JCHRQ,1,70,70,Yes
6474-FVJLC,2,86,165,Yes
4524-QCSSM,26,45,1156,No
5832-EXGTT,29,60,1834,No
8840-DQLGN,35,100,3653,Yes
2039-JONDJ,27,55,1477,No
7217-JYHOQ,24,70,1706,No
6695-FRVEC,67,60,3953,No
4547-LYTDD,16,73,1194,Yes
9894-QMIMJ,23,56,1327,No
8069-YQQAJ,14,31,419,No
6770-XUAGN,1,21,21,Yes
4193-ORFCL,1,45,45,Yes
1636-NTNCO,4,51,207,No
3466-WAESX,16,69,1083,No
9281-PKKZE,46,44,2007,No
3638-VBZTA,68,86,5882,No
7459-IMVYU,38,70,2657,No
7776-QWNFX,30,50,1527,Yes
6689-TCZHQ,5,79,378,Yes
8563-OYMQY,17,91,1612,No
0754-EEBDC,4,20,76,No
5777-ZPQNC,12,20,260,No
1951-IEYXM,72,91,6441,No
3318-NMQXL,3,92,266,No
3143-ILDAL,56,94,5124,Yes
1022-RKXDR,41,25,962,No
2361-FJWNO,40,36,1382,No
2272-UOINI,7,78,571,No
8232-UTFOZ,69,20,1399,No
3750-YHRYO,7,21,150,No
6637-KYRCV,5,30,167,No
5668-MEISB,72,106,7657,No
0129-QMPDR,44,20,865,No
7188-CBBBA,65,96,6153,No
5356-CSVSQ,3,65,174,No
3221-CJMSG,24,51,1269,No
4720-VSTSI,44,85,3862,Yes
3219-JQRSL,72,89,6352,No
2801-NISEI,24,55,1348,No
3946-MHCZW,1,51,50,Yes
4623-ZKHLY,22,20,471,No
6732-VAILE,70,86,5931,No
8201-AAXCB,25,60,1404,No
7696-CFTAT,37,20,726,No
1845-CSBRZ,22,85,1961,No
2123-VSCOT,59,72,4194,No
6651-AZVTJ,49,100,4872,Yes
4566-GOLUK,47,107,5118,Yes
2484-DGXPZ,31,20,658,Yes
2018-QKYGT,1,81,81,No
2792-VPPET,3,20,76,No
7409-JURKQ,53,112,5809,No
3247-MHJKM,1,20,20,No
1964-SVLEA,20,20,415,No
4587-NUKOX,3,79,246,Yes
7297-DVYGA,51,20,996,No
2239-CGBUZ,51,60,3145,No
0854-UYHZD,13,20,265,No
7243-LCGGZ,1,21,20,No
8267-KFGYD,1,21,21,No
4890-VMUAV,63,72,4576,No
9261-WDCAF,3,55,189,No
3764-MNMOI,46,19,908,No
7442-YGZFK,1,50,49,No
0420-BWTPW,8,26,215,Yes
8229-BUJHX,71,20,1500,No
7449-HVPIV,55,90,5099,No
5504-WSIUR,70,90,6385,No
8183-ONMXC,2,81,159,Yes
8466-PZBLH,67,105,6885,No
9614-RMGHA,65,92,5940,Yes
8735-IJJEG,14,50,668,No
0564-MUUQK,20,96,1916,No
5054-IEXZT,1,75,75,Yes
5834-ASPWA,1,75,75,Yes
0701-RFGFI,49,95,4613,No
0019-EFAEP,72,101,7261,No
5619-PTMIK,46,53,2459,No
3737-XBQDD,24,85,2048,No
5882-CMAZQ,5,34,163,No
5846-QFDFI,33,89,2888,No
4445-KWOKW,42,60,2421,No
3511-APPBJ,23,100,2292,No
7967-HYCDE,8,71,553,No
2430-RRYUW,66,55,3465,No
3948-XHGNA,24,50,1210,Yes
3723-BFBGR,24,55,1291,No
0565-IYCGT,69,79,5356,Yes
5447-WZAFP,53,100,5200,No
5110-CHOPY,60,54,3237,No
5445-UTODQ,7,81,576,Yes
4425-OWHWB,20,19,433,No
7892-QVYKW,23,86,1868,No
9675-ICXCT,72,81,5728,No
1024-VRZHF,11,75,825,Yes
4703-MQYKT,21,20,390,No
9497-QCMMS,1,94,93,Yes
5692-ICXLW,31,91,2845,No
0602-DDUML,57,70,3894,No
2208-MPXIO,45,20,886,No
1960-UYCNN,10,95,1021,No
0348-SDKOL,58,102,5885,Yes
3190-FZATL,14,20,268,No
7336-RLLRH,27,81,2204,No
4373-MAVJG,14,91,1259,Yes
8901-HJXTF,12,29,309,Yes
7710-JSYOA,69,93,6398,No
5419-KLXBN,25,89,2257,Yes
3424-NMNBO,58,109,6287,Yes
9885-MFVSU,35,46,1662,No
4514-GFCFI,16,85,1350,Yes
0607-MVMGC,45,79,3600,No
3365-SAIGS,17,84,1329,No
9828-AOQLM,1,46,45,Yes
8022-BECSI,22,20,422,No
8000-REIQB,1,70,69,Yes
9993-LHIEB,67,68,4627,No
0266-CLZKZ,67,106,6717,No
7615-ESMYF,2,45,97,Yes
3858-VOBET,23,75,1710,Yes
7020-OZKXZ,9,76,637,No
3977-QCRSL,5,20,117,No
0017-DINOC,54,45,2460,No
1447-PJGGA,57,95,5464,Yes
8565-CLBZW,24,90,2165,Yes
9139-WQQDY,49,100,4941,Yes
0224-HJAPT,5,47,223,Yes
8086-OVPWV,2,80,181,Yes
9430-FRQOC,4,87,341,Yes
7639-OPLNG,70,79,5731,No
3074-GQWYX,5,76,357,Yes
1492-QGCLU,53,86,4616,No
6845-RGTYS,47,99,4533,Yes
7328-OWMOM,31,20,589,No
4418-LZMSV,13,62,750,No
5155-AZQPB,28,50,1410,No
8861-HGGKB,10,86,830,Yes
1087-GRUYI,38,20,743,No
7065-YUNRY,1,45,45,Yes
7694-VLBWQ,67,104,7040,Yes
2546-KZAAT,52,75,3865,No
0181-RITDD,62,108,6825,No
5989-PGKJB,16,86,1340,No
4795-KTRTH,5,81,371,Yes
8272-ONJLV,12,96,1184,No
1488-PBLJN,72,117,8477,No
0308-GIQJT,71,106,7382,No
3778-FOAQW,24,20,456,No
4452-ROHMO,15,20,331,No
6481-OGDOO,67,91,6056,Yes
3090-LETTY,2,61,134,No
5349-AZPEW,5,25,125,No
3753-TSEMP,15,88,1390,Yes
8305-VHZBZ,1,20,20,Yes
9720-JJJOR,41,60,2511,No
8100-HZZLJ,43,64,2737,No
8775-ERLNB,1,74,74,No
8309-IEYJD,1,71,70,No
9172-JITSM,26,91,2361,Yes
6298-QDFNH,22,79,1730,Yes
7398-HPYZQ,71,91,6404,No
3546-GHEAE,7,19,165,No
7361-YPXFS,28,64,1867,No
6557-BZXLQ,16,70,1043,No
2550-QHZGP,7,20,128,No
7519-JTWQH,69,110,7455,No
2538-OIMXF,1,25,24,No
8543-MSDMF,3,77,206,No
9961-JBNMK,21,97,2030,Yes
1170-SASML,69,85,5869,No
4872-JCVCA,71,48,3377,No
5346-BZCHP,69,19,1346,No
2038-LLMLM,48,104,4946,No
6173-ITPWD,47,83,4065,Yes
9734-UYXQI,2,49,106,Yes
1216-BGTSP,45,108,4964,No
4138-NAXED,51,81,4085,No
2189-UXTKY,22,79,1742,Yes
0744-BIKKF,72,87,6224,No
7483-IQWIB,37,93,3415,No
5248-KWLAR,71,90,6325,No
4958-GZWIY,7,49,340,Yes
7996-MHXLW,66,25,1683,No
7833-PKIHD,51,76,3966,No
7061-OVMIM,30,20,608,No
5153-RTHKF,34,85,2896,No
1852-QSWCD,64,25,1514,No
4832-VRBMR,65,103,6792,No
9079-LWTFD,47,101,4669,No
6356-ELRKD,1,96,95,Yes
8624-GIOUT,49,60,2934,Yes
3392-EHMNK,67,94,6302,No
5986-WWXDV,39,19,779,No
3061-BCKYI,14,20,283,No
6179-GJPSO,43,108,4600,Yes
7901-TBKJX,56,101,5594,No
7228-PAQPD,14,59,772,No
3177-LASXD,1,71,71,Yes
7746-QYVCO,16,56,857,No
5804-HYIEZ,70,106,7554,No
9919-FZDED,72,84,5981,No
5934-TSSAU,23,75,1702,No
3486-KHMLI,21,25,467,No
4897-QSUYC,1,20,20,Yes
1084-UQCHV,1,70,69,Yes
8290-YWKHZ,32,93,2931,Yes
2955-BJZHG,17,81,1400,Yes
3806-DXQOM,4,34,137,Yes
6784-XYJAE,36,56,1941,No
3933-DQPWX,50,40,1932,No
6661-EIPZC,48,30,1423,No
8957-THMOA,50,20,970,No
2251-PYLPB,72,80,5810,No
5555-RNPGT,10,25,223,No
1057-FOGLZ,18,20,391,No
9300-RENDD,1,80,79,Yes
0761-AETCS,1,19,19,Yes
8087-LGYHQ,9,94,811,No
4137-BTIKL,2,91,174,No
2190-BCXEC,40,79,3126,No
6227-FBDXH,69,100,6841,No
2153-MREFK,37,99,3754,Yes
2911-WDXMV,18,81,1406,No
7206-PQBBZ,11,70,834,No
3106-ULWFW,8,85,627,Yes
0925-VYDLG,3,75,242,Yes
4547-FZJWE,55,59,3157,No
7422-WNBTY,33,93,3092,No
0842-IWYCP,46,45,2168,No
3521-HTQTV,34,26,980,No
3744-ZBHON,3,20,65,No
3373-DIUUN,30,21,711,No
8383-SGHJU,33,59,1952,No
7607-QKKTJ,45,95,4368,No
7707-PYBBH,40,62,2647,No
8984-HPEMB,71,119,8477,No
4349-GFQHK,1,54,54,Yes
4139-DETXS,72,64,4528,No
9779-DPNEJ,22,80,1790,No
9805-FILKB,46,20,845,No
5793-YOLJN,55,21,1210,No
0673-IGUQO,1,20,20,No
4123-FCVCB,12,76,854,No
8819-IMISP,31,80,2429,No
7802-EFKNY,5,25,100,Yes
8311-UEUAB,67,76,5229,No
5858-EAFCZ,1,44,44,No
8035-BUYVG,40,42,1716,Yes
1163-ONYEY,41,75,3023,No
9787-XVQIU,1,75,75,Yes
8945-MUQUF,51,95,4837,Yes
5656-MJEFC,42,48,2032,No
6082-OQFBA,23,20,436,No
8051-HJRLT,1,71,70,Yes
8974-OVACP,1,20,20,No
4010-YLMVT,56,107,5893,No
1379-FRVEB,15,91,1430,No
8612-GXIDD,12,25,313,No
6288-CHQJB,54,70,3871,No
8160-HOWOX,7,67,458,No
3023-GFLBR,33,86,2745,Yes
6648-INWPS,16,20,341,No
4223-BKEOR,21,65,1336,No
4079-VTGLK,30,75,2181,No
1763-WQFUK,3,50,147,No
1391-UBDAR,11,73,818,No
8894-JVDCV,62,115,7133,No
2023-VQFDL,18,19,348,No
1345-GKDZZ,6,20,128,No
2014-MKGMH,46,101,4674,No
5628-FCGYG,21,84,1737,No
2560-WBWXF,68,24,1498,No
0248-IPDFW,1,50,50,No
7978-DKUQH,25,75,1797,No
4335-UPJSI,24,20,498,No
0524-IAVZO,30,85,2624,Yes
2737-YNGYW,2,81,184,Yes
1784-EZDKJ,51,107,5498,No
9297-FVVDH,57,84,4845,No
8007-YYPWD,15,25,369,No
7101-HRBLJ,72,84,6096,No
5159-YFPKQ,2,76,160,Yes
6635-CPNUN,28,97,2684,No
4021-RQSNY,29,98,3004,Yes
5453-YBTWV,70,101,6994,No
5039-LZRQT,13,20,273,No
2931-VUVJN,59,94,5483,No
9061-TIHDA,13,95,1233,Yes
8699-ASUFO,7,74,527,Yes
6418-PIQSP,62,81,4985,No
8220-OCUFY,21,60,1258,No
3995-WFCSM,2,61,111,No
1895-QTKDO,1,44,43,No
2038-OEQZH,4,86,308,No
1178-PZGAB,19,20,383,No
7927-AUXBZ,30,85,2555,Yes
2626-VEEWG,67,19,1284,No
2878-RMWXY,72,103,7550,No
1657-DYMBM,53,20,1110,No
7311-MQJCH,5,20,99,No
7375-WMVMT,71,96,6707,No
1136-XGEQU,50,84,4164,No
2530-FMFXO,56,103,5873,No
6844-DZKRF,2,50,109,No
4695-WJZUE,2,89,179,Yes
7619-ODSGN,24,55,1338,Yes
5970-GHJAW,46,20,862,No
8879-XUAHX,71,116,8564,No
3689-MOZGR,29,31,926,No
4195-PNGZS,69,24,1718,No
5003-XZWWO,71,84,5956,No
3988-RQIXO,1,91,91,Yes
7622-FWGEW,56,86,4824,No
6922-NCEDI,56,21,1238,No
2514-GINMM,1,80,79,Yes
9891-NQDBD,28,26,672,No
6131-IUNXN,19,20,382,No
8548-AWOFC,66,64,4264,No
9798-DRYDS,17,62,1070,No
8532-UEFWH,52,26,1345,No
6296-DDOOR,19,58,1045,No
7951-VRDVK,36,86,3003,No
5931-FLJJF,7,70,467,Yes
4815-YOSUK,72,105,7537,No
2659-VXMWZ,67,111,7482,Yes
0380-NEAVX,34,100,3343,No
3207-OYBWH,57,95,5427,Yes
4285-GYRQC,7,86,587,Yes
7216-EWTRS,1,101,100,Yes
4365-MSDYN,8,20,161,No
7036-TYDEC,69,104,7028,No
5802-ADBRC,50,104,5232,No
8076-FEZKJ,10,20,225,No
5197-YPYBZ,12,25,274,No
8337-MSSXB,14,86,1180,Yes
4312-GVYNH,70,50,3370,No
8495-LJDFO,64,109,7111,No
0839-JTCUD,66,90,5958,No
5494-WOZRZ,71,82,5999,No
1302-UHBDD,20,90,1648,No
2234-EOFPT,72,79,5753,No
8619-IJNDK,71,64,4492,No
8378-LKJAF,38,101,3956,No
8182-BJDSI,28,90,2625,Yes
2528-HFYZX,17,76,1233,Yes
1153-GNOLC,33,39,1309,No
3298-QEICA,23,35,813,No
0788-DXBFY,58,20,1108,No
3597-YASZG,70,104,7349,No
3496-LFSZU,4,70,294,No
5242-UOWHD,45,20,929,No
2482-CZGBB,10,70,740,Yes
6479-SZPLM,36,19,754,No
8097-VBQTZ,54,70,3883,No
4500-HKANN,23,60,1414,No
9917-KWRBE,41,78,3211,No
3420-ZDBMA,5,71,371,No
2212-LYASK,27,46,1246,No
1393-IMKZG,1,96,95,No
8069-RHUXK,67,36,2545,No
3398-GCPMU,72,90,6448,No
2908-WGAXL,56,25,1468,No
3378-AJRAO,44,25,1013,No
1013-QCWAM,66,101,6690,No
0866-QLSIR,34,64,2088,Yes
6050-FFXES,69,105,7240,No
7181-BQYBV,1,102,102,Yes
0362-RAOQO,40,20,830,No
9554-DFKIC,30,54,1588,No
5527-ACHSO,11,70,829,No
0829-DDVLK,15,20,302,No
1399-UBQIU,11,69,712,No
1813-JLKWR,64,20,1336,No
0336-PIKEI,72,74,5360,No
7322-OCWHC,72,93,6735,No
9537-VHDTA,1,51,51,No
4957-TIALW,15,66,1010,No
2054-PJOCK,60,81,4847,No
9150-HEPMB,56,53,3019,No
9030-QGZNL,8,21,161,No
6204-IEUXJ,3,80,217,Yes
3126-WQMGH,49,52,2583,No
4529-CKBCL,2,80,146,Yes
2506-CLAKW,6,98,567,Yes
7176-WRTNX,70,115,7711,No
1583-IHQZE,12,113,1384,Yes
5732-IKGQH,52,104,5481,No
9239-GZHZE,72,114,8124,No
7205-BAIAD,40,21,827,No
0151-ONTOV,1,71,70,Yes
4140-MUHUG,3,87,220,Yes
0093-EXYQL,40,92,3673,No
8064-RAVOH,1,50,49,No
0219-QAERP,30,20,576,No
0320-JDNQG,23,100,2331,Yes
7180-PISOG,1,74,74,Yes
9168-INPSZ,44,104,4495,No
3571-RFHAR,65,109,6941,Yes
0015-UOCOJ,7,48,340,No
5334-AFQJB,72,25,1789,No
2754-SDJRD,8,100,908,No
9578-VRMNM,16,65,1043,Yes
1587-FKLZB,66,100,6822,Yes
6140-QNRQQ,1,72,71,Yes
8963-JLGJT,3,56,157,No
4307-KTUMW,53,94,5029,Yes
1465-LNTLJ,8,64,581,No
5440-FLBQG,69,108,7318,Yes
2135-DQWAQ,5,85,420,No
4056-QHXHZ,72,107,7576,No
7470-MCQTK,13,49,633,Yes
7488-MXJIV,4,86,321,Yes
7401-JIXNM,54,91,4965,No
9339-FIIJL,72,86,6151,No
2027-FECZV,12,107,1253,Yes
2672-DZUOY,1,25,25,Yes
4706-DGAHW,1,45,45,No
3870-MQAMG,54,110,5893,Yes
6670-MFRPK,69,79,5420,No
6177-PEVRA,48,56,2627,No
4800-CZMPC,48,103,5037,Yes
4813-HQMGZ,8,90,743,No
7579-KKLOE,71,91,6589,No
7377-DMMRI,2,48,92,Yes
8402-EIVQS,67,101,6733,No
4947-DSMXK,34,98,3410,No
7245-NIIWQ,3,70,199,No
0002-ORFBO,9,66,593,No
3324-OIRTO,71,105,7288,No
5414-OFQCB,57,90,5229,No
4967-WPNCF,72,64,4464,No
8552-OBVRU,48,104,5068,No
8499-BRXTD,18,20,401,No
9154-QDGTH,43,104,4451,No
8197-BFWVU,72,93,6688,No
2577-GVSIL,35,73,2661,No
9367-OIUXP,4,21,73,No
6770-UAYGJ,49,25,1211,No
6463-HHXJR,71,100,7030,No
7928-VJYAB,11,91,1020,No
1187-WILMM,63,89,5597,No
9776-OJUZI,65,95,6223,No
1306-RPWXZ,49,20,1024,No
8949-JTMAY,29,99,2933,Yes
2774-LVQUS,15,83,1258,Yes
3097-PYWXL,4,20,82,No
2266-SJNAT,72,109,7789,No
0869-PAPRP,26,86,2067,No
4238-JSSWH,35,102,3452,No
2972-YDYUW,57,95,5468,No
1104-FEJAM,28,64,1802,No
2809-ILCYT,25,27,733,No
5499-ECUTN,47,66,3021,No
4981-FLTMF,57,65,3687,No
9121-PHQSR,16,85,1391,No
3113-IWHLC,5,56,274,No
3211-ILJTT,17,70,1214,Yes
4612-THJBS,56,105,5510,Yes
4277-BWBML,72,20,1322,No
4094-NSEDU,21,94,1973,Yes
0234-TEVTT,48,45,2196,No
4304-TSPVK,68,115,7843,No
1552-AAGRX,30,106,3211,No
2637-FKFSY,3,46,130,No
9796-MVYXX,14,40,692,No
7874-ECPQJ,4,20,85,No
0020-INWCK,71,96,6849,No
7089-RKVSZ,8,24,203,No
2683-JXWQQ,61,34,2117,No
9548-ZMVTX,72,90,6565,No
8739-XNIKG,5,84,424,No
9755-JHNMN,49,67,3306,No
3981-QSVQI,8,20,168,No
2789-HQBOU,3,80,253,No
9424-CMPOG,9,20,197,No
5067-WJEUN,67,54,3838,No
3450-WXOAT,46,45,2065,No
9251-WNSOD,67,75,5064,No
6974-DAFLI,55,20,1140,No
2616-UUTFK,33,73,2447,No
7064-JHXCE,62,20,1263,No
5103-MHMHY,1,46,45,Yes
7989-AWGEH,49,39,1838,No
4373-VVHQL,1,45,44,No
4559-UWIHT,14,83,1185,No
7268-IGMFD,18,94,1743,No
1846-XWOQN,1,70,70,Yes
0235-KGSLC,1,86,85,Yes
6650-BWFRT,72,117,8529,No
9570-KYEUA,64,99,6549,No
6993-YGFJV,69,113,7806,No
2712-SYWAY,1,26,25,No
0730-BGQGF,71,90,6287,No
5498-IBWPI,66,49,3251,No
9101-NTIXF,2,19,50,No
0013-SMEOE,71,110,7904,No
9314-QDMDW,11,61,729,No
9308-ANMVE,47,55,2654,No
2884-GBPFB,35,70,2416,Yes
3757-NJYBX,32,106,3520,Yes
3413-DHLPB,60,104,5969,No
7649-PHJVR,11,20,226,No
6114-TCFID,29,40,1082,No
3787-TRIAL,21,26,565,No
2573-GYRUU,48,91,4370,No
5156-UMKOW,3,30,90,No
1247-QBVSH,43,50,2169,No
6734-GMPVK,5,105,550,No
9822-OAOVB,1,55,55,No
6161-ERDGD,71,85,6300,No
1226-JZNKR,8,20,160,No
7318-EIVKO,8,59,436,No
3771-PZOBW,20,91,1781,No
5136-KCKGI,33,104,3467,Yes
8231-BSWXX,71,79,5552,No
6486-LHTMA,31,91,2835,No
4083-BFNYK,38,95,3591,No
3722-WPXTK,1,88,88,Yes
7389-KBFIT,2,30,63,No
7176-WIONM,12,50,617,No
5141-ZUVBH,9,93,870,No
1089-HDMKP,11,55,601,No
7623-HKYRK,6,20,111,No
0310-SUCIN,71,85,6046,No
5197-PYEPU,42,94,3923,No
2929-ERCFZ,8,94,777,Yes
7548-SEPYI,5,96,512,Yes
8835-VSDSE,2,71,141,Yes
6619-RPLQZ,45,21,892,No
3275-RHRNE,28,60,1682,No
3503-TYDAY,43,80,3398,No
6901-GOGZG,60,85,4984,No
1623-NLDOT,42,34,1445,Yes
7021-XSNYE,7,50,305,No
9621-OUPYD,25,20,507,No
9898-KZQDZ,40,95,3640,Yes
8982-NHAVY,27,100,2673,No
4307-KWMXE,10,36,389,No
0141-YEAYS,27,86,2401,No
2450-ZKEED,11,54,651,No
3694-DELSO,4,39,156,No
3893-JRNFS,68,40,2796,No
9603-OAIHC,1,70,70,No
1133-KXCGE,18,20,407,No
5236-PERKL,57,113,6465,Yes
0142-GVYSN,26,20,511,No
1049-FYSYG,17,36,646,No
7854-FOKSF,1,36,35,Yes
2519-FAKOD,38,99,3777,Yes
8406-LNMHF,59,83,4903,No
1821-BUCWY,30,56,1653,No
8263-JQAIK,2,24,47,Yes
0023-UYUPN,50,25,1306,No
8314-DPQHL,9,51,463,No
1465-WCZVT,3,20,60,No
9481-SFCQY,14,60,824,No
6360-SVNWV,31,74,2094,No
0567-GGCAC,7,61,438,No
7089-IVVAZ,8,103,847,Yes
8884-MRNSU,17,20,329,No
2171-UDMFD,32,19,674,No
9050-IKDZA,2,82,162,No
2205-YMZZJ,7,85,546,Yes
9802-CAQUT,72,110,7887,No
1254-IZEYF,31,100,3186,Yes
0187-WZNAB,27,74,1972,No
9492-TOKRI,18,90,1527,Yes
1475-VWVDO,7,75,490,No
9221-OTIVJ,14,105,1531,Yes
1357-MVDOZ,11,60,683,No
7602-MVRMB,72,110,8058,No
3325-FUYCG,28,106,2847,Yes
5908-QMGOE,15,74,1133,Yes
1197-BVMVG,4,74,294,No
5406-KGRMX,71,25,1719,No
8481-YYXWG,5,89,461,Yes
5968-HYJRZ,47,25,1160,No
5198-EFNBM,57,91,5199,No
7516-GMHUV,50,105,5163,No
7140-ADSMJ,8,20,162,No
2230-XTUWL,48,20,883,No
7706-YLMQA,70,20,1341,No
2585-KTFRE,1,70,70,No
7994-UYIVZ,8,86,659,No
2609-IAICY,1,77,77,Yes
1740-CSDJP,1,35,35,Yes
7717-BICXI,60,21,1205,No
6559-RAKOZ,49,98,4917,No
2636-OHFMN,4,49,201,Yes
4716-MRVEN,29,20,599,No
2143-LJULT,67,25,1733,No
1323-OOEPC,53,98,5149,Yes
3200-MNQTF,67,71,4677,No
6164-HXUGH,6,20,119,No
5630-IXDXV,47,106,4849,No
0320-DWVTU,53,100,5424,No
9135-MGVPY,69,85,5878,No
1212-GLHMD,3,86,244,No
7878-JGDKK,4,45,220,No
1088-AUUZZ,56,76,4261,No
0397-GZBBC,59,94,5574,Yes
6614-YWYSC,61,25,1501,No
9588-OZDMQ,2,45,89,No
7641-EUYET,46,101,4541,Yes
6476-EPYZR,12,20,255,No
9921-ZVRHG,14,80,1072,Yes
1174-FGIFN,28,90,2509,No
6620-HVDUJ,24,60,1440,No
4701-MLJPN,31,55,1715,Yes
1032-MAELW,68,78,5333,No
7641-TQFHN,39,101,3895,No
1552-TKMXS,42,20,869,No
9206-GVPEQ,13,54,706,Yes
8622-ZLFKO,6,91,512,No
1596-BBVTG,35,75,2636,Yes
6188-UXBBR,38,20,814,No
2333-KWEWW,18,20,388,No
5702-SKUOB,4,20,93,No
1134-YWTYF,27,54,1389,No
6061-GWWAV,41,70,2894,No
0679-TDGAK,50,76,4025,No
6585-WCEWR,72,20,1354,No
9067-YGSCA,70,26,1856,No
9067-SQTNS,44,21,926,No
8433-WXGNA,2,76,189,Yes
1776-SPBWV,34,20,682,No
8735-SDUFN,72,24,1778,No
9668-PUGNU,71,24,1816,No
9405-GPBBG,64,110,7069,No
1926-QUZNN,72,25,1841,No
3707-GNWHM,1,74,74,Yes
7016-NVRIC,29,90,2656,No
5829-NVSQN,23,69,1689,No
9565-AXSMR,52,19,1054,No
8922-LIEGH,25,90,2187,Yes
8869-LIHMK,64,115,7334,No
8245-UMPYT,16,96,1581,Yes
5186-SAMNZ,1,70,69,Yes
0447-RXSGD,24,100,2404,No
4927-WWOOZ,2,91,171,No
5788-YPOEG,34,85,2839,No
5373-SFODM,36,85,3132,Yes
0661-KBKPA,53,79,3942,No
9081-WWXKP,47,20,873,No
0784-ZQJZX,72,20,1529,No
3133-PZNSR,72,98,6991,No
5766-ZJYBB,1,19,19,Yes
8931-GJJIQ,9,83,803,Yes
4277-PVRAN,8,80,679,Yes
0022-TCJCI,45,63,2791,Yes
